2020-02-21 20:39:42,268 |    pack.madgraph.run |   INFO | starting file logging for topic: run
2020-02-21 20:39:42,899 |    pack.madgraph.run |   INFO | b'************************************************************'
2020-02-21 20:39:42,900 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-21 20:39:42,900 |    pack.madgraph.run |   INFO | b'*                     W E L C O M E to                     *'
2020-02-21 20:39:42,900 |    pack.madgraph.run |   INFO | b'*              M A D G R A P H 5 _ a M C @ N L O           *'
2020-02-21 20:39:42,900 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-21 20:39:42,901 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-21 20:39:42,901 |    pack.madgraph.run |   INFO | b'*                 *                       *                *'
2020-02-21 20:39:42,901 |    pack.madgraph.run |   INFO | b'*                   *        * *        *                  *'
2020-02-21 20:39:42,901 |    pack.madgraph.run |   INFO | b'*                     * * * * 5 * * * *                    *'
2020-02-21 20:39:42,902 |    pack.madgraph.run |   INFO | b'*                   *        * *        *                  *'
2020-02-21 20:39:42,902 |    pack.madgraph.run |   INFO | b'*                 *                       *                *'
2020-02-21 20:39:42,902 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-21 20:39:42,902 |    pack.madgraph.run |   INFO | b'*         VERSION 2.6.7                 2019-10-16         *'
2020-02-21 20:39:42,903 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-21 20:39:42,903 |    pack.madgraph.run |   INFO | b'*    The MadGraph5_aMC@NLO Development Team - Find us at   *'
2020-02-21 20:39:42,903 |    pack.madgraph.run |   INFO | b'*    https://server06.fynu.ucl.ac.be/projects/madgraph     *'
2020-02-21 20:39:42,903 |    pack.madgraph.run |   INFO | b'*                            and                           *'
2020-02-21 20:39:42,904 |    pack.madgraph.run |   INFO | b'*            http://amcatnlo.web.cern.ch/amcatnlo/         *'
2020-02-21 20:39:42,904 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-21 20:39:42,904 |    pack.madgraph.run |   INFO | b"*               Type 'help' for in-line help.              *"
2020-02-21 20:39:42,904 |    pack.madgraph.run |   INFO | b"*           Type 'tutorial' to learn how MG5 works         *"
2020-02-21 20:39:42,904 |    pack.madgraph.run |   INFO | b"*    Type 'tutorial aMCatNLO' to learn how aMC@NLO works   *"
2020-02-21 20:39:42,905 |    pack.madgraph.run |   INFO | b"*    Type 'tutorial MadLoop' to learn how MadLoop works    *"
2020-02-21 20:39:42,905 |    pack.madgraph.run |   INFO | b'*                                                          *'
2020-02-21 20:39:42,905 |    pack.madgraph.run |   INFO | b'************************************************************'
2020-02-21 20:39:42,905 |    pack.madgraph.run |   INFO | b'load MG5 configuration from madgraph/input/mg5_configuration.txt'
2020-02-21 20:39:42,905 |    pack.madgraph.run |   INFO | b'set collier to /code/madgraph/HEPTools/collier'
2020-02-21 20:39:42,908 |    pack.madgraph.run |   INFO | b'fastjet-config does not seem to correspond to a valid fastjet-config executable (v3+). We will use fjcore instead.'
2020-02-21 20:39:42,909 |    pack.madgraph.run |   INFO | b"Please set the 'fastjet'variable to the full (absolute) /PATH/TO/fastjet-config (including fastjet-config)."
2020-02-21 20:39:42,909 |    pack.madgraph.run |   INFO | b'MG5_aMC> set fastjet /PATH/TO/fastjet-config'
2020-02-21 20:39:42,909 |    pack.madgraph.run |   INFO | b''
2020-02-21 20:39:42,916 |    pack.madgraph.run |   INFO | b'lhapdf-config does not seem to correspond to a valid lhapdf-config executable.'
2020-02-21 20:39:42,917 |    pack.madgraph.run |   INFO | b"Please set the 'lhapdf' variable to the (absolute) /PATH/TO/lhapdf-config (including lhapdf-config)."
2020-02-21 20:39:42,917 |    pack.madgraph.run |   INFO | b'Note that you can still compile and run aMC@NLO with the built-in PDFs'
2020-02-21 20:39:42,917 |    pack.madgraph.run |   INFO | b'MG5_aMC> set lhapdf /PATH/TO/lhapdf-config'
2020-02-21 20:39:42,917 |    pack.madgraph.run |   INFO | b''
2020-02-21 20:39:42,918 |    pack.madgraph.run |   INFO | b'set ninja to /code/madgraph/HEPTools/lib'
2020-02-21 20:39:42,918 |    pack.madgraph.run |   INFO | b'No valid text editor found. Please set in ./input/mg5_configuration.txt'
2020-02-21 20:39:42,918 |    pack.madgraph.run |   INFO | b'No valid eps viewer found. Please set in ./input/mg5_configuration.txt'
2020-02-21 20:39:42,919 |    pack.madgraph.run |   INFO | b'No valid web browser found. Please set in ./input/mg5_configuration.txt'
2020-02-21 20:39:42,919 |    pack.madgraph.run |   INFO | b'import /code/proc_card.dat'
2020-02-21 20:39:42,920 |    pack.madgraph.run |   INFO | b'The import format was not given, so we guess it as command'
2020-02-21 20:39:42,920 |    pack.madgraph.run |   INFO | b'import model DMsimp_s_spin1 --modelname'
2020-02-21 20:39:43,593 |    pack.madgraph.run |   INFO | b'\x1b[1;60mINFO: download model from http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/DMsimp/DMsimp_s_spin1.zip to the following directory: /code/madgraph/models \x1b[0m'
2020-02-21 20:39:43,600 |    pack.madgraph.run |   INFO | b'--2020-02-22 04:39:43--  http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/DMsimp/DMsimp_s_spin1.zip'
2020-02-21 20:39:44,488 |    pack.madgraph.run |   INFO | b'Resolving feynrules.irmp.ucl.ac.be (feynrules.irmp.ucl.ac.be)... 130.104.48.109'
2020-02-21 20:39:44,639 |    pack.madgraph.run |   INFO | b'Connecting to feynrules.irmp.ucl.ac.be (feynrules.irmp.ucl.ac.be)|130.104.48.109|:80... connected.'
2020-02-21 20:39:44,907 |    pack.madgraph.run |   INFO | b'HTTP request sent, awaiting response... 200 Ok'
2020-02-21 20:39:44,908 |    pack.madgraph.run |   INFO | b'Length: 28558 (28K) [application/zip]'
2020-02-21 20:39:44,908 |    pack.madgraph.run |   INFO | b"Saving to: 'tmp.tgz'"
2020-02-21 20:39:44,910 |    pack.madgraph.run |   INFO | b''
