2020-02-21 20:40:43,133 |       pack.rivet.run |   INFO | starting file logging for topic: run
2020-02-21 20:40:43,993 |       pack.rivet.run |   INFO | b'Rivet 2.7.2 running on machine a90f72a0e42c (x86_64) at 2020-02-22 04:40:44'
2020-02-21 20:40:44,046 |       pack.rivet.run |   INFO | b"Reading events from '/Users/vlad/Documents/EPEprojects/yadage-tests/madgraph_pythia-rivet/workdir/pythia/output.hepmc'"
2020-02-21 20:40:44,061 |       pack.rivet.run |   INFO | b'#--------------------------------------------------------------------------'
2020-02-21 20:40:44,062 |       pack.rivet.run |   INFO | b'#                         FastJet release 3.3.2'
2020-02-21 20:40:44,062 |       pack.rivet.run |   INFO | b'#                 M. Cacciari, G.P. Salam and G. Soyez'
2020-02-21 20:40:44,062 |       pack.rivet.run |   INFO | b'#     A software package for jet finding and analysis at colliders'
2020-02-21 20:40:44,062 |       pack.rivet.run |   INFO | b'#                           http://fastjet.fr'
2020-02-21 20:40:44,063 |       pack.rivet.run |   INFO | b'#'
2020-02-21 20:40:44,063 |       pack.rivet.run |   INFO | b'# Please cite EPJC72(2012)1896 [arXiv:1111.6097] if you use this package'
2020-02-21 20:40:44,063 |       pack.rivet.run |   INFO | b'# for scientific work and optionally PLB641(2006)57 [hep-ph/0512210].'
2020-02-21 20:40:44,064 |       pack.rivet.run |   INFO | b'#'
2020-02-21 20:40:44,064 |       pack.rivet.run |   INFO | b'# FastJet is provided without warranty under the terms of the GNU GPLv2.'
2020-02-21 20:40:44,064 |       pack.rivet.run |   INFO | b"# It uses T. Chan's closest pair algorithm, S. Fortune's Voronoi code"
2020-02-21 20:40:44,064 |       pack.rivet.run |   INFO | b'# and 3rd party plugin jet algorithms. See COPYING file for details.'
2020-02-21 20:40:44,064 |       pack.rivet.run |   INFO | b'#--------------------------------------------------------------------------'
2020-02-21 20:40:45,473 |       pack.rivet.run |   INFO | b'Event 100 (0:00:01 elapsed)'
